,cell_ids,label,label2,leiden
0,1772071015_C02,interneurons,Int10,10
1,1772071017_G12,interneurons,Int10,10
2,1772071017_A05,interneurons,Int6,10
3,1772071014_B06,interneurons,Int10,10
4,1772067065_H06,interneurons,Int9,10
5,1772071017_E02,interneurons,Int9,10
6,1772067065_B07,interneurons,Int10,10
7,1772067060_B09,interneurons,Int9,10
8,1772071014_E04,interneurons,Int10,10
9,1772071015_D04,interneurons,Int10,10
10,1772071015_C11,interneurons,Int10,10
11,1772071017_D04,interneurons,Int2,18
12,1772071017_D06,interneurons,Int4,18
13,1772067082_D07,interneurons,Int2,18
14,1772071017_F09,interneurons,Int1,18
15,1772071017_A09,interneurons,Int1,18
16,1772067094_C05,interneurons,Int2,18
17,1772067059_B06,interneurons,Int2,18
18,1772067096_E05,interneurons,Int3,18
19,1772066089_C05,interneurons,Int13,13
20,1772067094_F04,interneurons,Int13,13
21,1772071045_A01,interneurons,Int13,13
22,1772071015_C08,interneurons,Int16,13
23,1772071045_D06,interneurons,Int16,13
24,1772071017_A03,interneurons,Int14,13
25,1772071017_F07,interneurons,Int16,13
26,1772071017_E06,interneurons,Int14,13
27,1772067066_C10,interneurons,Int14,13
28,1772071017_B05,interneurons,Int14,13
29,1772071014_E06,interneurons,Int14,13
30,1772067058_D11,interneurons,Int14,13
31,1772071014_B04,interneurons,Int14,13
32,1772067066_B09,interneurons,Int14,13
33,1772071017_E10,interneurons,Int14,13
34,1772071015_B08,interneurons,Int14,13
35,1772071014_C11,interneurons,Int14,13
36,1772067066_E10,interneurons,Int14,13
37,1772067065_F11,interneurons,Int14,13
38,1772071014_H11,interneurons,Int16,13
39,1772071017_B11,interneurons,Int14,13
40,1772071014_A07,interneurons,Int11,13
41,1772071017_B03,interneurons,Int11,13
42,1772071015_B04,interneurons,Int11,13
43,1772071014_D03,interneurons,Int11,13
44,1772067065_D06,interneurons,Int11,13
45,1772067066_H08,interneurons,Int6,10
46,1772067096_G11,interneurons,Int5,10
47,1772071017_G11,interneurons,Int6,10
48,1772067054_E12,interneurons,Int6,10
49,1772067083_B12,interneurons,Int6,10
50,1772067054_G01,interneurons,Int5,10
51,1772067096_A02,interneurons,Int3,10
52,1772067093_H05,interneurons,Int7,10
53,1772067083_B09,interneurons,Int4,10
54,1772071014_H12,interneurons,Int6,10
55,1772067082_H11,interneurons,Int8,10
56,1772067094_D06,interneurons,Int7,10
57,1772071015_F03,interneurons,Int6,10
58,1772071015_B11,interneurons,Int5,10
59,1772071014_G10,interneurons,Int6,10
60,1772067066_B07,interneurons,Int6,10
61,1772067065_G01,interneurons,Int6,10
62,1772071015_F07,interneurons,Int6,10
63,1772067065_E07,interneurons,Int6,10
64,1772071015_C10,interneurons,Int6,10
65,1772067063_E06,interneurons,Int7,10
66,1772067065_A11,interneurons,Int6,10
67,1772071015_G12,interneurons,Int7,10
68,1772067058_D07,interneurons,Int7,10
69,1772067065_D01,interneurons,Int7,10
70,1772071015_A02,interneurons,Int7,10
71,1772071014_F01,interneurons,Int7,10
72,1772071015_D06,interneurons,Int12,13
73,1772071017_B02,interneurons,Int16,13
74,1772071017_D07,interneurons,Int12,13
75,1772071017_A11,interneurons,Int12,13
76,1772071017_B01,interneurons,Int12,13
77,1772071017_C07,interneurons,Int12,13
78,1772071015_H11,interneurons,Int12,13
79,1772071014_A05,interneurons,Int12,13
80,1772071017_A10,interneurons,Int12,13
81,1772071017_C08,interneurons,Int12,13
82,1772071017_B09,interneurons,Int12,13
83,1772067066_A09,interneurons,Int12,13
84,1772067065_A12,interneurons,Int12,13
85,1772071015_G04,interneurons,Int12,13
86,1772067066_B02,interneurons,Int12,13
87,1772071015_E06,interneurons,Int12,13
88,1772067064_E04,interneurons,Int12,13
89,1772071015_C01,interneurons,Int12,13
90,1772071014_F06,interneurons,Int16,13
91,1772071017_D10,interneurons,Int16,13
92,1772071017_C05,interneurons,Int16,13
93,1772071014_E05,interneurons,Int16,13
94,1772071017_E04,interneurons,Int16,13
95,1772058148_D08,interneurons,Int12,13
96,1772067065_F07,interneurons,Int16,13
97,1772062128_G08,interneurons,Int3,18
98,1772066102_B02,interneurons,Int1,18
99,1772063077_B03,interneurons,Int1,18
100,1772062114_H03,interneurons,Int1,18
101,1772066074_A03,interneurons,Int1,18
102,1772066102_C09,interneurons,Int2,18
103,1772062114_E02,interneurons,Int1,18
104,1772063068_G07,interneurons,Int1,18
105,1772062115_A12,interneurons,Int1,18
