X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
22.997448,4.244398,-0.83335507,28.360601,-25.770563,-0.6656902,8.111213,-10.910784,5.3974657,-2.3486319,1.8051113,0.4374648,-2.2710667,-8.162352,-1.698697,-5.7765317,-5.626968,-3.8153512,-3.182757,1.8334217,4.9682703,-0.38730523,-4.738366,-1.8645128,0.11011459,3.3201203,5.6548605,-4.6855435,-5.279286,9.736648,-11.005156,-0.98700356,-1.4437549,-12.648689,9.194008,-1.9968737,-3.570971,6.3555884,5.715976,3.3055012,-1.1644795,11.770245,6.17767,5.9509892,2.1602082,-6.9676743,0.17625788,-1.605261,0.64650637,-0.01565663,-1.3745006,-1.4789224
21.451511,0.13586552,4.01777,26.046923,-23.925047,-0.6140228,3.6004236,-10.626489,6.847707,-2.0541253,2.9513016,1.0017332,0.5334381,-5.4258175,-2.937748,-6.93581,-6.5437775,-4.2326384,-3.1115289,5.153928,6.046257,-3.2021344,-1.2272015,2.455022,-0.5444308,-0.5728474,7.0420637,-4.2862234,-5.0025687,8.640212,-10.552515,-4.4587317,-0.97920763,-10.607029,10.895864,1.0909553,-2.8409026,6.702117,2.62331,2.1362107,-2.6883109,9.115317,6.1555014,4.9246683,1.8049412,-7.7226543,-1.8329095,-1.5506546,-1.9185896,-5.216078,-1.0762184,-1.3809502
26.970303,1.8511416,-0.5643622,28.180058,-26.089634,-0.68047684,10.84517,-8.054588,2.8881037,4.26569,-1.6502837,-0.7155317,-1.5299046,-5.739405,-1.2180768,-6.5550475,-5.135738,-2.127237,-5.86183,8.392405,8.5411215,-3.1274965,-9.587288,-2.214589,0.8611308,4.097701,5.9590087,-2.3546376,-3.7387092,7.1372595,-8.771776,-1.7903627,-0.8005216,-11.74104,6.1636343,-1.762414,-4.8229737,3.7558913,2.8902617,2.3516989,-3.1234593,10.741814,4.4993997,3.0944846,1.6518499,-4.6369333,-0.78744686,-1.6382126,0.4998961,-4.0903215,-1.4394296,-1.2259047
25.887508,1.1387058,1.3143644,28.960678,-26.167835,-1.0056721,7.8129487,-10.535546,4.4618273,-0.16895145,2.4984741,-0.35967255,-1.9803737,-4.730674,-2.188656,-5.9669514,-6.203345,-2.6865675,-5.1613755,3.7756317,4.475141,-0.70055526,-2.1204739,0.66519225,-1.7515047,3.8922572,8.798076,-4.105388,-4.135447,9.05696,-10.687379,-4.3686104,-3.0763068,-12.11311,9.3800955,-0.79342204,-4.597636,4.867281,3.1929038,4.3562,-2.4341474,9.264633,5.1960273,7.5893035,0.37172237,-5.464387,0.3615055,-2.6520016,-3.2077217,-2.8427525,-1.3402807,-1.3945533
27.623226,3.9468281,-2.919378,26.043587,-25.002913,0.20143318,6.472201,-11.270216,6.3455877,-5.186324,4.028181,-0.95286363,2.012527,-6.1700816,-1.6307507,-5.1446853,-4.837326,-1.9512376,-6.0156913,3.0735846,3.83091,0.32835832,-2.2463694,0.77606106,-1.9473208,2.1012104,4.801063,-3.9960988,-2.900663,12.595265,-10.993484,-2.6960995,-1.6459286,-17.140314,8.807201,-1.8879039,-4.9913273,3.4595196,5.3967566,0.96404094,-2.877226,8.806427,6.716784,3.2930388,-0.5686064,-5.2144637,1.2941078,0.043620624,-0.05780376,-1.67257,-1.4379063,-1.4390696
28.932995,6.150489,-5.0819,30.817587,-28.112694,-1.0994005,9.901849,-9.186381,3.9987915,0.8166327,1.7179863,-0.90580297,0.32642913,-5.258395,-2.0030391,-5.1627445,-4.260443,-0.7391669,-7.607395,4.5109663,3.7603428,-1.5609602,-2.1567733,0.8335784,-0.5628177,0.08013872,6.371752,-1.291501,-1.7420806,12.214939,-11.618417,-3.3618839,-2.589525,-12.793347,10.34563,-0.48847106,-5.79765,5.620484,3.060911,3.3253357,-1.8170612,10.892865,5.1822505,6.6810017,2.7349484,-9.469363,0.41509303,-3.4440033,-5.3893857,-2.1750853,-1.6003014,-1.4243418
32.656208,7.5472717,-8.22574,29.540123,-27.474533,-1.2350249,10.8719425,-6.587318,0.32147506,2.572655,0.40284863,-1.6425253,-1.1084632,-4.461676,-0.8484188,-1.5989774,-5.9665923,-1.0582495,-5.867967,-1.7527746,0.73090523,-0.13676603,0.8766315,2.4798567,-4.5005093,2.045748,3.2730803,-1.1732811,-5.01995,9.950285,-10.94737,-2.13027,-3.3352232,-10.932607,8.648309,-4.2182956,-6.7241,6.275762,2.1014915,0.60361975,-3.9708,6.973408,5.2156935,2.903923,0.38463902,-5.6690874,-1.1603683,-0.9260936,1.3830601,-0.16672765,-1.7230133,-1.3689276
33.742294,7.6822495,-7.716141,26.974669,-26.674072,-0.26293024,17.411858,-5.557979,1.1370738,9.290485,-1.2133753,-2.0167816,4.3963957,-4.861303,-0.11626929,3.4183652,-1.3890479,4.1458216,-11.8374195,3.5124388,1.7001357,-1.6711564,2.684979,0.8987311,-2.827611,1.7314966,0.55842423,5.4234133,0.52459025,11.246543,-9.810157,-2.691055,-0.16033077,-14.533073,7.1679106,0.9948338,-6.4260383,-0.17644799,-1.5644642,-1.1272156,3.0813887,0.5352553,2.032151,3.2807393,4.3389287,-2.0633287,3.3995547,-0.2574712,-3.7928355,3.0013864,-2.0157664,-1.2301109
27.332228,2.5523915,-2.4333003,26.845978,-23.66055,-0.21284828,8.376033,-8.045344,2.8159702,-3.785988,1.5460259,-1.167784,-2.443651,-2.7268853,-3.0428615,-3.67973,-3.6222668,0.37399602,-3.399756,2.1825173,3.3100545,0.07683348,-0.3583114,1.783949,-0.7621241,-0.9713645,3.6361985,0.89143854,-2.9874768,13.543129,-9.438443,-3.917659,-3.8679552,-15.569557,5.0686564,-1.8961502,-5.8574533,2.7775965,1.3508459,2.779148,-1.4150698,5.480738,3.5758703,-1.7079508,2.538372,-1.3201902,-1.2934488,2.2540398,2.293447,1.0926791,-1.5715821,-1.3693768
28.322155,-1.6092856,0.45827457,27.828869,-25.068861,-0.0861954,13.030754,-9.469023,1.8790308,-1.1443614,1.1081638,-1.1057405,0.66075903,-0.056538645,-2.5316148,-3.364186,0.25639635,0.92058885,-6.2703447,1.3093337,1.873884,0.50799316,0.006210685,1.468627,-1.3595496,-1.7562957,2.410508,1.8680826,-0.7171139,6.87422,-6.4082866,-5.0180774,0.23255472,-13.913607,5.8592863,-1.0778536,-5.042925,-1.4955765,-2.9267619,3.3598366,0.7808301,-1.6625705,0.19822825,1.4573617,2.013868,0.3338921,1.2726773,0.8220662,-0.6838742,-0.5819712,-1.8634678,-1.081112
24.056065,-3.825089,5.048132,24.368908,-21.682032,0.034586977,11.220227,-8.9035225,2.4075975,2.9817045,-0.7993682,-1.29658,-7.281341,-0.35751426,-1.1695267,1.3785762,-0.29228893,0.5792211,-4.0742,2.9420807,2.7916062,-2.0874882,-0.200444,1.1290799,0.46044517,1.0293702,2.9094496,-0.65102905,-1.7150114,4.860871,-4.472583,-4.305603,-0.7957832,-8.795532,2.6851692,1.4632978,-3.1665888,-1.3794646,-1.2576776,3.4649293,2.638713,2.9662375,2.4473686,1.1380429,2.457635,-4.7199407,-1.409644,0.19908182,-1.9154402,3.0358655,-1.6201248,-0.70891505
29.788462,-4.07509,2.8685353,22.248617,-22.787018,-0.044015452,7.530799,-3.3570704,1.0378376,1.2030095,0.02678202,-0.6169832,-2.494916,4.858972,-3.2686365,4.6237597,-3.4170532,-0.58455884,-4.957355,2.2716663,1.1587014,-4.1806355,13.497754,4.8999968,-4.097407,-13.165404,-2.8931158,4.4124103,0.7393733,1.596323,-0.027547063,-9.034598,-3.41756,-3.8321984,4.0624785,3.470018,-1.5376425,-2.0746462,1.8029315,-1.9571164,1.8087423,-2.3273396,-1.3091334,-0.9257363,0.3293564,4.1432624,-1.1782091,1.1574306,4.969365,0.7624863,-1.1996764,3.6426723
36.279293,8.888278,-8.799715,19.770788,-24.132854,-1.4323924,-0.5578817,4.5339537,-2.524435,-0.19564888,0.6777935,0.17848366,2.09741,-0.91978794,-2.4121447,-4.4727163,-3.0522687,-3.1328588,-7.2269635,0.4688697,0.46754038,-1.116632,10.638388,3.1869595,-2.699918,-13.188029,-4.5467677,2.9157412,2.0072355,1.383881,0.9958826,-4.1862006,-2.1715944,-3.1090372,3.5367582,-1.99414,-4.186129,-0.299764,-1.8819478,-1.55363,-0.021960488,-1.8364099,-3.3267143,-3.3325937,1.8803673,0.48504847,-1.3501437,-1.1362479,4.107242,0.75409716,-1.4687955,3.5255818
29.147049,1.5232146,-0.061153226,24.857895,-23.682716,1.5238057,12.6967535,-6.7142653,2.5774,1.7997087,-0.17063406,-1.6564268,-0.30756766,7.4728456,-3.6711514,7.9860005,0.07389945,3.5783114,-13.894682,2.661864,-0.80858356,-0.8524179,18.302309,4.8729696,-5.9766593,-20.244291,-6.8601766,6.9871917,3.6348295,2.2313836,4.618319,-10.041423,-2.7935982,-3.1257317,2.500497,0.9501663,-2.3255901,-2.4684258,-0.34431878,-3.293588,2.0634904,-6.297094,-4.726634,-5.9596205,2.1193917,4.1069574,-1.4866197,-1.5004957,1.8300401,2.5400498,-1.3964311,3.7045846
29.653091,7.249807,-7.3361373,25.294313,-26.247139,0.9413471,6.3597574,-5.8609223,3.6714559,-1.0929883,1.0498043,-0.8137963,0.7057961,3.286972,-2.14459,0.55523086,-3.5146136,-0.67117316,-12.658642,-1.5552129,-1.9726858,-0.28404352,16.060148,5.2368364,-6.412097,-13.765138,-4.294765,8.03359,3.4846818,2.620817,3.2613404,-10.072751,-3.6579092,-2.045543,3.5798917,-1.3966335,-2.6101394,3.2350078,0.99622905,-2.594661,-0.06573868,-0.5609128,-1.505437,-2.0814157,0.29375377,1.1863331,-0.6202778,-1.7122176,2.6932223,-1.1920727,-1.5045904,3.5467265
32.617813,2.3046844,-3.1709836,24.20156,-24.650932,0.41445193,8.801847,-4.118624,-0.5025896,0.14469567,1.2858407,-0.59233993,-0.011070639,1.9508971,-1.0603702,4.2974286,-3.802999,-0.1760572,-12.791952,-1.0607527,-1.7196672,0.05292429,13.609639,5.2422857,-4.753965,-11.58321,-5.051842,7.8584137,1.9952332,0.5705917,0.4811102,-9.800771,-3.840069,-3.0947182,3.8224573,-1.2341123,-3.362299,2.060592,2.3121169,-2.7064533,-0.0066056787,-0.26818067,-0.6893586,-3.1100247,0.13928437,0.67486066,-0.31215313,-1.4401758,2.8530238,-0.61026305,-1.4898224,3.4744241
21.973837,-1.8761578,5.238935,23.77452,-21.183357,2.0073502,6.0590096,-12.985626,8.396781,-5.395183,3.2815497,1.7132034,-0.5338555,3.968848,-3.8744724,3.7694473,1.4208983,0.8925262,-7.4151196,6.1136394,2.8252084,-5.665784,17.523653,3.6151073,-8.71759,-14.46699,-0.18802081,4.8480377,0.15172017,2.4581847,8.774854,-12.269003,-4.727789,2.1620674,-2.43054,0.31759226,-1.8026786,-2.3329537,-0.16791058,1.2645347,3.5118833,-0.8167971,-5.9726543,-4.3431144,2.5266755,2.4789202,2.1147454,0.9820247,3.161627,0.07483171,-1.6621356,3.7251565
33.9475,-0.23425849,-1.6512767,25.315916,-24.838146,0.92653704,16.013332,-2.695255,-3.3927028,5.2543597,-1.3050891,-3.094193,-3.5659652,5.331293,-4.0616136,11.279583,-4.1291137,2.360325,-14.260634,1.5905111,0.65987885,-2.0035632,19.38374,4.179263,-3.3735757,-17.316496,-9.44011,6.810965,2.692859,-6.901977,4.3888125,-9.731849,-3.0344107,-2.2414527,7.766544,-2.6714773,-3.0800235,-0.8567928,0.023415249,-1.7274768,-1.0177202,-0.9431713,-0.48911762,-5.1016116,1.4348842,-0.38281044,0.055730563,-2.2629955,1.5682331,0.049380444,-1.3342773,3.6389432
29.29071,-5.7445493,-3.2135665,7.88868,-9.980216,1.2690967,10.234377,-5.315193,0.42596665,-4.5162797,2.8291507,-1.0148227,-3.7293508,0.06476628,-3.6490848,7.330522,-5.2564187,-0.10759023,-2.2706692,2.2174008,3.659238,-3.14439,9.779912,-1.5064052,-3.9938898,-11.593374,-5.1212597,-0.15770449,0.13146101,-0.5128743,-0.23364478,-4.9851217,-1.0549674,1.0522943,0.12044588,2.7567277,-0.33419305,1.1355143,7.4565225,-1.3631315,-1.9123186,0.3942853,2.0090642,0.20632692,1.4138439,-1.1534396,0.03975679,-2.062639,0.45429614,-0.5092347,-1.0071466,4.56647
29.58839,-6.0508204,4.9701133,12.07708,-11.439452,1.4167495,12.20135,-2.7603397,-2.583088,7.271154,-2.7536018,-2.4265401,-7.7179947,2.1662626,2.1158175,3.8276188,0.24930914,0.2437471,8.445247,-6.132912,-5.1257486,1.2871815,9.33361,3.0595315,-0.93522245,-3.3979766,-5.6830688,3.0823503,1.5872871,-5.1116405,0.5156449,-3.3217494,-0.82126087,3.811512,0.1452046,-1.8705622,0.7321378,-0.2618305,-0.48429555,2.2660208,1.9435368,2.74288,0.7835356,1.4275153,1.8857869,-1.0712236,-0.23177576,-1.4320836,-1.4514476,1.1103845,-2.5810683,2.856949
22.405603,-0.30078718,0.5534267,25.391113,-23.355976,0.45286918,6.644985,-16.118616,9.2089205,-8.816456,5.1194835,1.9938444,-3.7310936,-2.6226172,-3.8017035,-2.011164,-1.3668896,-1.2687199,13.242387,-5.617656,-3.1161482,-1.4467291,11.909097,-0.43773562,-7.462983,-7.908459,-2.7946796,-0.6325675,-0.31494755,-3.7066243,6.9874125,-0.4705217,-2.5252247,9.427072,-3.1198242,-1.1871804,4.570217,-2.9410777,4.5793896,1.1531473,1.4479597,5.185323,4.067562,0.98206705,-0.66263825,-1.385852,1.8934038,2.7705343,2.5639498,-2.5092366,-2.792343,2.4152606
23.577658,-7.4980807,7.724655,20.648201,-17.902283,1.3903118,10.163501,-9.362884,2.187307,2.407763,-0.9874887,-0.8961752,-2.898651,-3.6261458,0.9342306,1.107537,-4.2097135,-2.555023,10.94824,-10.345903,-9.037947,1.3491579,11.385002,3.1351535,-1.4794593,-3.8194807,-5.061925,2.2079284,0.3490979,-8.502862,4.2061453,-2.066715,-1.004984,3.8546247,-2.3589284,1.1936187,4.1789308,-0.9625346,4.622909,-0.4356659,3.1609066,1.9255898,3.8162751,1.089747,-1.3675473,-4.123765,-0.61783254,1.0221851,-2.6477273,2.9566681,-2.8711169,2.5231154
26.455164,-0.40431345,2.324935,23.32702,-24.90176,-0.6216232,8.838498,-6.2068596,3.1434798,-0.5544743,0.78681403,0.48135662,-8.472662,-3.68427,0.54205424,-10.699595,-2.313081,-6.976973,21.711964,-9.887765,-4.789046,-0.85347515,6.852543,1.3285174,-1.2586771,-0.31355143,0.24352889,0.42419484,-2.1836255,-1.9246048,-0.77223545,3.342233,2.0676634,-2.3135216,0.93697184,1.2547798,2.4741852,-1.6929734,-0.2535362,-0.99261165,-1.6510353,-3.3524213,-2.865945,-1.3516872,1.5213026,0.40497652,-0.343698,0.88508576,2.2154071,-0.5147644,-3.317324,1.3498766
23.34769,-11.7733135,11.420641,20.333029,-17.90062,-0.12197068,11.309105,-6.709205,0.09952999,4.16656,-0.37376618,-1.7131106,-8.763549,-4.2929616,-0.82783276,-0.5372734,-2.2658355,0.4918501,19.103495,-10.350609,-8.458445,1.1421171,4.461352,0.18124716,0.39623785,-1.2902578,-3.8135765,-0.37470615,1.5174415,-4.984158,2.017821,1.9221241,2.2985373,4.628023,-0.15166616,3.4165173,2.8218756,-1.3518238,0.15535808,-0.03067862,0.064881064,-2.6359248,0.5423254,1.8703692,0.49068338,0.6470889,-1.3708006,-0.879909,-1.9310088,1.8464344,-3.0005772,2.1761465
40.715595,2.5844464,-4.6581945,14.92252,-20.205326,-1.7596354,-0.33290833,7.047298,-6.460111,-6.6474156,3.5714316,-2.1654797,-3.1139252,-9.936823,2.963409,-6.999345,0.32194614,-2.4019606,6.799327,-10.750079,-6.372507,4.707556,1.4040161,-0.50225776,-0.4524349,-1.1819469,-7.494772,2.1848488,0.7554902,-6.922301,-0.43600467,2.3655074,3.2286217,-0.7100784,1.4379227,0.33961675,1.1352916,3.4310172,2.36505,-0.5503762,-0.6595182,-1.7894896,0.59599286,3.4001312,-1.4414837,0.2555308,0.23821694,-1.439912,0.1181234,-1.1265876,-3.5307162,1.4380374
34.792984,3.5658402,-3.9086905,24.377052,-26.884537,-0.3583135,12.638908,-2.723969,-1.7063992,1.408765,0.61597043,-1.1129895,-8.459622,-4.5409517,0.86873156,-8.137714,-2.3255432,-3.9479227,20.743364,-12.774187,-8.312719,0.7878605,3.9781563,-0.883425,-0.70891225,-0.61772966,-3.624431,1.8375392,0.758213,-3.2558994,0.15632337,2.907601,0.8223507,-0.01586056,-1.3633269,-0.7468196,1.3647577,-0.20581563,-3.182792,0.31001905,-0.78870666,-2.5084615,0.85426974,-0.34576496,2.5706263,1.1191773,1.9478647,0.4139652,0.5541792,0.69429386,-3.749357,1.212863
32.909664,7.0635567,-6.7565823,27.25087,-26.819794,-0.34012544,12.281769,-4.442121,-0.29478142,0.49601686,1.4827253,-1.0506209,-3.0530431,-7.999683,0.5259897,-9.066149,-4.4865966,-3.2171314,15.021329,-12.488394,-6.6825724,4.5248494,2.3658986,-2.0894823,-0.10502029,0.01748732,-4.66041,0.8495329,1.8402542,-6.2257104,0.5705136,1.2767302,0.27337545,3.45674,1.7367219,-0.51723224,0.106850415,0.7484321,0.48642173,-0.16794425,-0.63983434,2.8181415,5.075673,4.6264105,-0.5299548,-4.243554,1.2350132,-0.3699096,-0.6566695,-1.3548582,-3.7526727,1.1519458
18.466745,-4.007209,6.718103,22.210926,-18.880236,0.42415786,1.9218737,-11.290247,5.8903112,-1.618906,1.7688276,1.4595596,-7.818962,-3.9338346,-0.22323829,-2.9885602,-5.5056,-3.8438895,20.59411,-11.066462,-7.6778574,1.8974837,6.1339154,-0.23002696,-2.2034159,-1.6205572,-0.14282976,-3.122299,0.16668946,-3.0885913,4.093006,2.2941816,0.95161694,5.9163547,1.7583809,2.2627542,2.769209,1.0482885,3.720442,-0.40081206,-3.726642,1.7610688,5.522487,3.6527448,-3.2638097,-4.1352515,-5.577057,-3.79275,-2.2039752,-1.7745919,-2.6613963,2.142083
31.974115,3.5260038,-3.7359793,24.19755,-25.158821,-0.92573255,13.496963,-5.0735765,-2.101552,-0.026185073,1.2600253,-1.9080353,-6.7707005,-4.371179,-0.096245244,-3.6400385,-5.359162,-1.432965,20.01469,-16.999174,-11.6754055,4.1929636,7.0224605,1.4735128,-0.6664943,-1.954185,-5.0971856,-0.6358493,1.0094212,-7.9267216,1.3413758,2.9409776,1.7816821,2.4881654,2.8455722,-0.602118,1.6494159,-0.791433,1.3776643,-0.99850774,0.2672706,1.9926106,4.06469,2.9832745,-1.2317863,-2.5557895,-0.28307196,-0.66099954,2.1802332,0.06703687,-3.7743416,1.5041399
27.619963,-5.2555165,4.0908623,23.68776,-22.59456,0.27766487,11.617109,-6.7030215,-1.5755595,-0.40540358,2.2249126,-1.316084,-6.8148494,-3.3865855,-0.296759,-1.6650903,-4.509438,-1.4618678,16.085224,-11.124447,-7.8132844,1.925133,6.850469,0.40982533,-1.7807927,-2.3669755,-4.375229,-1.9940945,0.9725503,-6.4687357,2.699434,1.7097597,0.4777123,4.1596894,2.293013,0.4557818,2.0509253,-1.6869689,0.5760263,-0.8434912,-1.6262068,1.4378601,4.045538,3.5470443,-2.283532,-1.8908442,-1.0632871,-1.2515737,-1.048398,-1.8913,-3.326172,2.1251898
38.05194,-2.0516114,-1.2336776,14.1586075,-15.055314,-0.4125763,13.562132,-3.8748293,-2.3942533,-1.8304757,2.5269692,-2.0182278,-0.5429192,2.2402022,-0.003981911,-2.4469762,3.2569256,0.8010056,13.333833,-8.893148,-7.8957973,1.0300015,5.185533,-1.0875623,-0.7329248,-3.3511662,-3.7772517,-1.6072707,0.96379167,-3.767056,1.1956601,2.2162507,0.03122057,4.6217,-0.5392984,1.9147503,1.5574185,-1.6414609,-0.31007043,1.1698304,0.15221925,-0.24754028,2.2125359,2.9214897,-0.22988239,-2.5157502,-0.2903589,-2.1754367,-2.2898836,-0.20425442,-3.3873193,2.0558352
32.086666,11.029423,-10.189903,22.701777,-24.876856,-0.43585914,8.363267,-3.0851474,-1.0245186,6.777312,-2.647911,-1.1699208,-3.1252484,-6.0332227,-0.5970669,-4.1425066,-4.0426645,-2.533655,19.709873,-16.228582,-11.212689,5.0526786,3.8570373,-2.1843042,0.059757017,0.92790735,-6.6202073,0.10693335,1.8796002,-7.5507474,2.2471738,5.9741135,1.698789,1.9833637,-0.28041467,-2.5612867,0.53090334,3.1090226,-1.7888204,0.021398203,-2.8584535,1.1307997,3.4223213,1.8612363,-0.15582088,0.15666859,2.2367592,-3.6844482,0.59531736,-2.094277,-3.907669,1.2087892
32.849594,5.224206,-6.6010203,24.310532,-25.45532,-0.2905531,9.787765,-6.1347437,-0.6259065,-2.2910028,0.7772075,-1.2191083,-9.449257,-4.500544,0.15735833,-1.9059305,-4.43628,-3.3150415,15.8325615,-13.721619,-9.381933,2.8057501,6.634991,0.12051999,-2.6255698,-1.8593194,-2.68093,-3.453694,-0.54786354,-5.5379295,0.85605633,1.3574581,-1.3737714,4.773099,0.8889363,-2.26369,1.3909878,-1.6816984,3.9063516,-0.09441832,-1.5322577,0.7038141,8.252745,1.9577944,1.185359,-0.41382617,1.5961928,1.2011275,-0.5841364,-2.2527065,-3.7114573,1.6025467
24.525295,1.1498321,0.04073057,21.62541,-20.163404,-0.35036767,5.1025605,-8.377222,5.800056,-2.1036777,0.24366997,2.0936255,-6.2075973,-5.6204643,-1.1453198,-7.2462583,-3.1202586,-4.3281527,19.824362,-12.88332,-8.986208,1.7346694,3.3228908,1.1215574,0.57253796,-1.8557719,-0.84983486,0.24337645,0.08752623,-3.7072117,4.5539684,1.7810574,0.9696385,4.283055,-5.5683093,1.574285,2.2826762,-1.8030326,-0.2395893,-3.0219188,-0.86601007,-5.087382,10.332464,0.12167299,0.9942862,0.658678,3.6716974,2.103917,-1.1633942,-0.5826403,-3.1881366,1.9105533
27.136562,-6.093489,5.8184366,20.777466,-19.887497,-0.0007723417,9.7223835,-6.332783,0.3404457,-1.8314264,1.476036,-0.91773397,-4.4094214,-6.1241436,1.7945015,-3.4121094,-2.1900353,-3.1153648,18.84722,-11.365583,-8.145952,1.5170405,5.2215624,-0.56030136,-2.1472878,-0.7400837,-3.2471817,-1.7196667,-1.0015273,-8.343644,4.4229097,1.3860039,-0.0020619186,3.2411692,-0.23523326,0.56949043,2.5831647,-2.352152,0.70714647,-2.071175,1.0799919,1.4788849,5.745022,2.0753016,-2.7056985,-2.876288,2.0514736,-1.1827043,-2.1512036,-0.95619184,-3.2328012,2.2224665
32.210728,5.279298,-6.282732,22.997072,-23.844936,-1.0634047,11.0820055,-5.7066584,-0.9523891,0.26324433,-0.32019493,-1.296717,-5.930173,-5.2387514,1.1701021,-5.2140718,-2.2837827,-1.8079563,20.07176,-15.69243,-11.629155,3.9811056,3.7141302,-0.65208054,-1.8331017,-0.21594706,-4.963767,1.6462135,2.0529356,-7.7911077,3.219037,3.9318278,1.0606883,4.0702043,-2.822205,-1.0565931,0.90990496,0.017580109,0.47356886,-0.76694447,0.20804223,1.9035254,3.1581879,1.8112363,0.05279814,-2.4845579,2.884487,-3.2575161,-0.8769666,-2.709655,-3.8717778,1.3558972
