,genes,mean,std
0,Tspan12,0.12278532546490876,0.3424977470199318
1,Tshz1,0.17144850171643763,0.41669521628664496
2,Fnbp1l,0.3558640675021091,0.5388084349279398
3,Adamts15,0.02001186168431839,0.14938552940685465
4,Cldn12,0.15377612300898985,0.33977503306254203
5,Rxfp1,0.020729244241301906,0.12496838265824466
6,2310042E22Rik,0.031806409785434135,0.1820242147346179
7,Sema3c,0.235777884344888,0.5722299942967064
8,Jam2,0.12993640427085604,0.3642015765460105
9,Apbb1ip,0.024689801317483138,0.15249903620213337
10,Frem2,0.020822395515719586,0.147001185787924
11,BC005764,0.12119529515554425,0.3016585216020268
12,Deptor,0.03975257225421423,0.1741187730379906
13,C130030K03Rik,0.05248205273500497,0.20672424941673323
14,Klhl13,0.20684459184152315,0.431406185411322
15,Tnfaip8l3,0.10780995625029388,0.3199935427782945
16,Ascl1,0.02377160406251517,0.13761367722468348
17,Atp1b2,0.5287330743229132,0.7774730958176903
18,Tmem132e,0.036534502601464854,0.15502438016529932
19,Prkar2b,0.27153852201638723,0.4993698647375787
20,Necab1,0.37144233124228365,0.6587834357778934
21,Nr2f2,0.28902669649651763,0.5672200342976006
22,Stmn1-rs1,0.10721541734880298,0.27679125598382714
23,Shisa9,0.16536482783799958,0.3716152101346168
24,Sub1,2.2937091935097476,0.8529031523081635
25,Vat1l,0.029489860860956292,0.14184617838715155
26,Pcdh18,0.06241198442938324,0.2812134413278656
27,Dpysl5,0.09175748155140837,0.24317033388343087
28,Agtr2,0.0035425629919261584,0.05703057153740014
29,Cxcl14,0.23125128987029864,0.657525650733203
30,Ptprf,0.4985052112235801,0.5904534931656186
31,Cers5,0.37896526326950697,0.5350004274526698
32,Nacc2,0.26882135070203345,0.5312101113835823
33,Cntnap2,0.3457936434896536,0.5038387054406682
34,Asic4,0.021407777998292705,0.1356348610559603
35,Tph2,0.012388845608754086,0.11562634723782401
36,Rit2,0.41983105698956824,0.5652309043813887
37,Scg2,0.9876166268117019,1.0124723227359342
38,Nr2e1,0.04569739554567067,0.23521348041823087
39,Bmp3,0.027856141661050514,0.12950960768114092
40,B3galnt1,0.38456379541640673,0.514124362493077
41,Gm9846,1.1344339755876687,0.9762816478261617
42,Kcnn1,0.05163337028958833,0.19969742875661814
43,Fam19a2,0.1116617255470717,0.3048494137144464
44,Samd4,0.11657399668074686,0.2948056015387231
45,Stmn1,1.0102780509957061,0.7461471646468755
46,Egln3,0.0421765311238373,0.2212783952617601
47,Bmper,0.03588792677231121,0.167447509896834
48,Cd200,0.3853672454440455,0.5367076493168312
49,1810041L15Rik,0.12998259323904796,0.34539940508135086
50,Rnf128,0.16813341144614927,0.3362333483627591
51,P2ry1,0.032819261170068316,0.16849295648740678
52,Sorcs1,0.16375480247119104,0.37650058827044697
